Размер массива,Выбором. Случайные 0-5,Выбором. Случайные 0-4000,Выбором. Почти отсортированный,Выбором. Обратный порядок,Пузырек. Случайные 0-5,Пузырек. Случайные 0-4000,Пузырек. Почти отсортированный,Пузырек. Обратный порядок,Пузырек + Айверсон 1. Случайные 0-5,Пузырек + Айверсон 1. Случайные 0-4000,Пузырек + Айверсон 1. Почти отсортированный,Пузырек + Айверсон 1. Обратный порядок,Пузырек + Айверсон 1 + 2. Случайные 0-5,Пузырек + Айверсон 1 + 2. Случайные 0-4000,Пузырек + Айверсон 1 + 2. Почти отсортированный,Пузырек + Айверсон 1 + 2. Обратный порядок,Простыми вставками. Случайные 0-5,Простыми вставками. Случайные 0-4000,Простыми вставками. Почти отсортированный,Простыми вставками. Обратный порядок,Бинарными вставками. Случайные 0-5,Бинарными вставками. Случайные 0-4000,Бинарными вставками. Почти отсортированный,Бинарными вставками. Обратный порядок,Подсчетом. Случайные 0-5,Подсчетом. Случайные 0-4000,Подсчетом. Почти отсортированный,Подсчетом. Обратный порядок,Цифровая. Случайные 0-5,Цифровая. Случайные 0-4000,Цифровая. Почти отсортированный,Цифровая. Обратный порядок,Слиянием. Случайные 0-5,Слиянием. Случайные 0-4000,Слиянием. Почти отсортированный,Слиянием. Обратный порядок,Быстрая + Хоара. Случайные 0-5,Быстрая + Хоара. Случайные 0-4000,Быстрая + Хоара. Почти отсортированный,Быстрая + Хоара. Обратный порядок,Быстрая + Ломуто. Случайные 0-5,Быстрая + Ломуто. Случайные 0-4000,Быстрая + Ломуто. Почти отсортированный,Быстрая + Ломуто. Обратный порядок,Пирамидальная. Случайные 0-5,Пирамидальная. Случайные 0-4000,Пирамидальная. Почти отсортированный,Пирамидальная. Обратный порядок
100,147,115,111,227,225,311,211,1350,581,543,242,785,196,257,261,265,33,236,45,110,107,95,100,111,14,223,118,238,24,136,85,725,60,91,181,38,23,42,59,28,79,64,270,310,86,74,87,171
200,527,374,552,707,797,2407,1037,4263,1233,2270,1307,3489,590,1824,1296,1027,137,430,193,345,454,343,261,898,16,240,81,216,45,265,156,254,127,147,183,83,50,61,134,48,240,158,213,1210,243,181,106,337
300,1771,854,1129,1230,1760,4792,2985,6516,1921,4053,2079,7730,1635,2399,2919,2241,417,935,420,844,1488,952,732,1369,47,263,161,222,78,432,1126,388,190,242,375,132,79,87,191,66,517,275,409,3697,413,275,321,649
400,2056,1455,1645,2263,7698,7367,3696,11433,3166,7397,4947,9339,2778,4461,4979,4117,692,1516,2269,1609,3490,1219,725,2789,87,304,173,263,97,533,387,540,222,506,303,179,102,161,304,121,921,328,565,8224,471,372,276,584
500,3894,2323,6348,3226,6290,14944,6181,25151,3892,10536,4307,15597,3952,11078,10444,7837,951,2429,1824,3411,6834,1737,903,3365,62,312,203,262,134,1331,407,527,362,483,370,233,169,182,909,141,1525,480,692,7535,637,499,331,537
600,6061,3570,5516,4161,13415,21091,9140,32357,5761,15105,8479,16191,6302,11627,12869,13560,2881,2308,1878,4287,7028,3146,1171,3093,56,504,213,253,234,759,1526,1324,436,957,624,273,184,270,473,156,1926,455,1123,9018,1134,551,427,695
700,8264,4467,8530,5328,46894,17373,11728,32571,10773,23043,9712,113330,8180,18699,15656,18449,2059,2023,1946,5560,5432,3012,1821,4083,48,521,255,264,168,837,1575,1646,536,951,743,363,224,260,828,1048,2312,492,934,17444,1664,745,569,835
800,8493,8933,11917,9141,47635,20763,16513,44892,18885,46413,17647,50807,16218,25155,16078,19036,3278,3077,2737,9540,6525,4130,3447,4188,71,481,256,261,198,1767,1622,1508,548,1179,978,424,291,340,1061,220,4274,653,1287,25571,1388,892,831,1072
900,11384,9389,11391,8562,61995,37184,22551,39441,19650,60055,17007,101220,13845,19663,22999,33789,3419,3176,4547,15837,8324,4839,4221,7305,146,527,275,275,214,2000,1752,1594,569,1059,1208,479,309,595,1025,258,5022,861,942,28092,1831,901,924,1030
1000,11843,16228,16673,14604,46255,42901,21020,70954,28306,37391,21924,52925,16243,27586,33936,47311,3452,6070,4234,18974,7659,5686,2926,9226,97,1191,281,299,286,2077,1934,1952,645,1335,1058,506,346,523,494,265,9087,1015,1833,29358,1569,997,1282,1175
1100,14764,15018,15010,12683,40005,74856,21052,112743,34210,42768,32810,89173,23633,45846,22630,51947,6759,6713,4667,71277,8190,9910,3134,11190,96,429,280,324,381,1939,3170,3075,1194,1094,1240,577,501,486,764,279,45069,1017,14710,38738,2380,1354,2180,1226
1200,16844,15614,18961,14890,37672,74950,22193,115768,50615,61718,30539,81218,22400,47255,22485,64470,7347,6477,3360,49152,11176,7540,2605,11404,123,432,248,305,370,1146,4401,2845,882,1252,1892,618,498,543,639,551,45605,997,35078,42223,2254,1440,2218,1581
1300,33160,69555,24017,15642,87239,85967,25976,136630,98897,87787,28551,112752,30018,48684,28122,87067,12190,7751,3992,27704,18253,8087,2338,17778,149,479,289,187,275,1264,4626,2636,835,1362,1326,691,450,711,675,397,45348,1260,46218,44246,2285,1828,1893,2579
1400,70564,55675,35077,15421,83956,89488,118170,82767,100892,173728,33263,106246,36766,72475,36071,86649,10752,11794,5272,58588,24430,8095,3031,20357,271,1483,480,202,342,1769,3457,2605,1359,1739,1981,1296,509,887,841,580,36583,1137,57774,61782,2974,1701,2214,2832
1500,40887,31682,28404,18289,91382,168631,132193,91898,56014,149336,36455,127585,35071,136485,22157,98316,17178,10655,6600,96796,17433,8305,2481,26556,198,501,325,223,351,1565,4981,2959,1148,1749,2263,806,556,974,922,599,25904,1207,70483,81470,2174,2112,2673,2472
1600,41291,47112,34245,27267,124864,114917,56480,145925,55341,90363,49325,244803,53799,108925,29862,103215,11611,14565,8921,58158,19991,10588,3103,40478,160,1283,305,292,344,1799,3246,3358,1218,1939,1898,812,922,945,1005,461,26056,1199,86022,61483,3146,1992,1765,2931
1700,30124,27253,37617,29337,115195,95571,65838,229908,106126,153939,58692,233297,60503,92519,36938,209438,12272,18849,4704,75521,16337,12934,2027,41241,145,624,787,284,378,2265,2994,2998,1249,2290,2253,1191,975,1039,897,856,31784,1575,84976,57974,4576,3329,1914,3425
1800,35235,32508,47969,25648,102789,167983,91825,230804,247081,142686,55852,222905,64003,102591,39578,154556,22616,30194,5496,83179,16210,14200,2564,42693,177,745,358,213,467,2084,4918,3330,1509,2423,4531,889,1100,1501,883,814,27011,1633,93715,75488,2457,4598,2119,3743
1900,38078,48556,59274,28474,122954,161274,60809,212936,343805,134436,113709,232737,84227,90612,38937,132420,23364,20647,5675,71803,22192,15673,1888,28285,433,874,352,257,489,1696,6403,3343,1986,2532,2732,919,671,1124,1042,864,21652,1345,275888,90544,3185,4080,2206,3593
2000,52370,39332,48170,36130,147880,290701,59773,242181,175369,172230,79568,245627,97260,95534,43560,128809,26983,20190,5089,47846,29085,19620,2146,32291,187,1114,440,231,490,2787,4319,3955,2666,2421,2454,970,744,1448,969,579,35529,1542,170379,238188,3311,16063,2753,3557
2100,62154,51826,54502,40099,423142,155848,95562,255618,340632,179144,48196,226735,190318,111995,45767,139098,16964,21352,5645,63898,38968,29196,2581,31245,385,1214,357,271,488,2553,5602,3652,3417,3263,2633,959,695,1206,889,492,48828,1513,213695,129577,3445,9308,2791,3143
2200,84440,52982,48143,56011,201764,195915,93178,254474,420773,367286,60141,375529,142250,258468,33722,404670,27604,25674,5873,97413,35784,28631,1760,39485,215,1254,1238,248,409,2389,3807,2983,2557,2525,2621,1354,673,1572,867,557,42694,2110,230490,163357,4183,8895,2829,3070
2300,107540,177250,47894,57346,180858,269511,77271,360762,178026,306336,37690,514499,131897,214287,24959,253515,36027,29637,5985,81984,26501,28979,1716,37725,200,1278,436,382,484,2775,4015,3634,3232,2574,2127,1397,785,1761,1088,901,48869,1763,486356,149212,5396,14645,4280,4291
2400,94763,93298,73837,130202,208083,337116,97745,441218,203992,252787,37497,318472,163261,189273,82268,283344,29674,39337,4268,86500,32258,37601,1697,49092,388,1064,463,274,545,2920,4582,3940,4379,2732,3420,1248,1349,1498,1218,1111,69754,1541,294991,259622,5268,13812,2774,4786
2500,86309,84525,84397,102396,477953,294001,123289,585222,225892,224552,57163,651409,160823,198136,49855,358042,26952,37606,4517,93391,28249,33865,1894,57515,365,2779,1416,301,741,2818,6433,3166,4969,1950,2990,1263,888,1625,1275,1114,53803,1594,513749,431593,6167,7431,3519,4669
2600,103263,98148,71614,109327,383017,242447,153975,397840,247453,303056,47493,430970,285326,301767,31887,423657,29044,37393,6040,86728,29972,29476,1824,147843,258,1667,1375,327,562,3765,10459,2907,3107,2135,2375,1555,874,2352,1044,760,75628,2051,782480,212675,7870,10416,4874,3581
2700,132899,92378,176553,99089,273482,510363,97592,369819,536514,306385,45796,807173,156607,441418,58033,320432,29458,61632,4278,89581,32125,39435,1482,99409,275,1101,1643,377,485,4731,3912,3549,5755,2549,3750,1186,716,1513,1187,717,106635,2329,419162,266367,5161,10972,3951,5919
2800,111818,112401,101129,98024,611571,330106,235026,366889,180681,319965,67272,539208,258078,261382,52664,377099,120612,42644,4563,280047,58949,42045,1586,104314,335,1618,1602,754,526,4880,3377,2785,3164,2037,4128,2761,1259,2162,1465,1369,85835,2329,636860,265185,5875,8986,5087,4376
2900,128385,109284,117990,102832,222994,346369,240740,615758,211030,456035,149695,632002,268617,419164,43766,499065,65346,50421,4237,118597,56077,35590,2882,104916,480,1713,573,326,513,5042,4253,3032,2672,3099,3675,1955,838,2106,1548,710,52226,2128,442666,438234,5388,7148,4655,4939
3000,236919,218884,88214,136362,239161,491746,90181,568950,221714,391233,88132,812454,229099,312971,37198,474433,67135,37230,4838,163883,119124,31911,2816,112386,317,757,583,314,574,3093,2729,3558,4413,4178,5615,1617,963,3316,1675,696,73327,3177,645333,248586,5635,5554,4706,5511
3100,128420,140124,161576,105092,248476,497991,289496,750477,233388,848103,69345,933963,286917,463159,31307,830900,50725,57150,3854,166339,65796,38312,2302,116661,306,1687,798,333,565,3524,3126,3421,2450,3737,5682,1588,839,2174,1384,660,91023,2157,521013,319460,5034,5287,4541,6516
3200,173672,379500,184210,87953,283032,464619,159543,985238,220375,583089,86999,1117116,382796,269854,42364,307609,65472,157308,3945,175492,58073,206533,1916,140808,322,1148,1291,352,787,3875,3156,2698,2319,3565,4763,2014,839,2534,1409,758,220728,2421,731134,290110,5590,5581,3953,5788
3300,168915,129621,136670,93111,244720,777578,241885,574955,262014,782683,90253,1354635,266795,234572,30795,337537,87660,76608,4558,201331,142579,59535,2476,164542,378,697,1133,376,610,4092,4016,2602,2209,3690,7306,3352,998,2070,1641,953,110926,2496,571794,477750,6081,7199,3578,7372
3400,252404,167630,155847,145389,282934,679425,180221,768320,264639,544451,97594,850596,258229,268040,46038,338143,76573,79408,4151,207801,87020,100395,3553,266619,411,929,3354,362,649,3762,3427,2331,2146,3893,9893,2259,1536,1890,1897,714,108047,2456,684461,506561,4287,6485,4641,9631
3500,300235,194861,177994,124421,273737,643430,181451,956343,318562,594696,105518,1116176,487709,269679,90455,346430,108249,88712,4990,388316,98605,79229,5509,113000,364,753,4953,381,664,4537,3615,2710,2926,3477,9348,3355,1114,2171,1427,648,80748,2779,656734,521147,6600,5603,3860,6913
3600,143035,177179,202321,283185,317271,769513,172125,997775,282748,677550,111105,1028985,720692,284520,96994,366329,78915,105919,4100,183207,87185,72126,4729,239451,396,729,2652,480,759,3513,3215,2541,3523,3374,8875,2099,990,2135,1789,619,95936,2617,815405,547205,4492,5157,4892,10035
3700,186322,335347,508784,160154,411220,794308,234285,1154503,305712,1058626,92897,885797,699729,282307,62494,379671,94954,107184,3861,212025,98726,58242,5063,175740,457,814,3449,370,951,3809,3258,3029,2777,2668,7193,2145,981,2193,1660,717,235971,2672,791562,568710,4059,4915,4513,9271
3800,203530,218268,461149,328218,352242,534024,293676,1171265,323556,942288,106890,951033,475782,291769,58695,728695,78930,124011,5198,241009,93034,106914,9846,155492,355,1284,631,500,657,4112,5447,2237,2992,3037,8843,3250,1042,3672,1411,836,112950,2735,916320,545593,6842,6461,7535,8117
3900,186151,145353,327567,163496,362549,746416,151336,1121829,330296,752553,115093,1173531,313509,322038,63822,665600,178642,127022,2864,363261,97421,112778,9535,204353,506,865,597,460,1006,5208,5554,2413,2609,2849,7220,2930,1108,3704,1846,661,117537,3891,962560,672507,6190,6108,6496,8099
4000,244991,336713,273906,239537,368635,756906,361687,1127595,344817,653704,175816,1210771,333266,345794,56241,767458,237514,118141,2643,443990,116831,89780,6441,205548,472,1926,2853,535,1085,5243,7316,2732,3583,2727,9539,4539,1193,2675,1486,750,145385,3494,1119965,587270,6670,7003,8748,7817
4100,261258,210287,438907,238352,386100,909974,305225,1021505,374654,740778,126622,1029558,444747,339702,58087,940091,255578,209681,2684,284870,154007,181907,4192,532535,527,1666,2851,487,810,6088,7506,2657,3327,3339,7932,4289,1161,2440,1578,985,151591,8343,1417398,588781,5871,6155,15473,10057